
year,location,incidents,acres_burned,fatalities,structures_damaged
2019,California,7860,259823,3,732
2019,Oregon,2215,79121,0,123
2019,Washington,1395,169219,0,210
2019,Colorado,912,40892,0,44
2019,Arizona,1869,384942,0,58
2020,California,9917,4257863,33,10488
2020,Oregon,2215,1221324,11,4009
2020,Washington,1714,842370,1,418
2020,Colorado,1080,625356,0,1026
2020,Arizona,2520,978569,0,127
2021,California,8835,2568948,3,3629
2021,Oregon,1940,828777,0,237
2021,Washington,1749,674906,0,298
2021,Colorado,1159,31150,0,27
2021,Arizona,1773,524428,0,61
2022,California,7667,362455,9,876
2022,Oregon,1738,443482,0,87
2022,Washington,1652,133379,0,126
2022,Colorado,1310,217724,0,366
2022,Arizona,1816,316193,0,45
2023,California,6827,338657,0,237
2023,Oregon,1629,271594,0,57
2023,Washington,1873,142760,0,98
2023,Colorado,915,18342,0,33
2023,Arizona,1694,209748,0,29
